Rank 2018,Row Labels,2014,2015,2016,2017,2018,Grand Total,2014-2017 % Change,2016-2017 % Change,2017 - year to date % Change
116,Anacostia Boat Clubs,0,0,1,0,1,2,#DIV/0!,-100,#DIV/0!
117,Barnaby Woods,0,0,1,0,1,2,#DIV/0!,-100,#DIV/0!
118,Buzzard Point,0,0,1,0,1,2,#DIV/0!,-100,#DIV/0!
119,Colonial Village,0,0,1,0,1,2,#DIV/0!,-100,#DIV/0!
120,D.C. General Hospital and Prison,0,0,1,0,1,2,#DIV/0!,-100,#DIV/0!
121,Eastland Gardens,0,1,1,0,1,3,#DIV/0!,-100,#DIV/0!
122,Federal Triangle,0,0,1,0,1,2,#DIV/0!,-100,#DIV/0!
123,Forest Hills,0,0,1,0,1,2,#DIV/0!,-100,#DIV/0!
124,Fort Dupont Park,0,0,1,0,1,2,#DIV/0!,-100,#DIV/0!
125,Fort Stanton,0,0,1,0,1,2,#DIV/0!,-100,#DIV/0!
126,Gallaudet University,0,0,1,0,1,2,#DIV/0!,-100,#DIV/0!
127,Joint Base Anacostia Bolling Naval Research Laboratory,0,0,1,0,1,2,#DIV/0!,-100,#DIV/0!
128,Kent,0,0,1,0,1,2,#DIV/0!,-100,#DIV/0!
129,Mayfair,0,0,1,0,1,2,#DIV/0!,-100,#DIV/0!
130,Naylor Gardens,0,0,1,0,1,2,#DIV/0!,-100,#DIV/0!
131,Spring Valley,0,1,1,0,1,3,#DIV/0!,-100,#DIV/0!
132,White House Grounds,0,0,1,0,1,2,#DIV/0!,-100,#DIV/0!
133,Potomac Heights,2,0,1,0,1,4,-100,-100,#DIV/0!
134,Ivy City,2,4,0,10,0,16,400,#DIV/0!,-100
135,Dupont Park,0,0,0,4,0,4,#DIV/0!,#DIV/0!,-100
136,Catholic University and other Catholic Institutions,0,1,0,2,0,3,#DIV/0!,#DIV/0!,-100
137,McMillan Reservoir,0,0,0,2,0,2,#DIV/0!,#DIV/0!,-100
138,Northwest Rectangle,0,0,0,2,0,2,#DIV/0!,#DIV/0!,-100
139,Parkside,0,0,0,2,0,2,#DIV/0!,#DIV/0!,-100
140,Wesley Heights,0,0,0,2,0,2,#DIV/0!,#DIV/0!,-100
141,American University,0,0,0,1,0,1,#DIV/0!,#DIV/0!,-100
142,Benning Heights/Simple City,0,0,0,1,0,1,#DIV/0!,#DIV/0!,-100
143,Fort Circle Parkland,0,0,0,1,0,1,#DIV/0!,#DIV/0!,-100
144,Glenwood/St. Mary's Cemeteries,0,0,0,1,0,1,#DIV/0!,#DIV/0!,-100
145,Gov Fleet Parking,0,0,0,1,0,1,#DIV/0!,#DIV/0!,-100
146,Hawthorne,0,0,0,1,0,1,#DIV/0!,#DIV/0!,-100
147,National Zoological Park,0,0,0,1,0,1,#DIV/0!,#DIV/0!,-100
148,Park Place/Cloisters,0,0,0,1,0,1,#DIV/0!,#DIV/0!,-100
149,Queens Chapel,0,0,0,1,0,1,#DIV/0!,#DIV/0!,-100
150,Rock Creek and  Potomac Parkway,0,0,0,1,0,1,#DIV/0!,#DIV/0!,-100
151,Skyland,0,0,0,1,0,1,#DIV/0!,#DIV/0!,-100
152,Walter Reed Medical Center,0,0,0,1,0,1,#DIV/0!,#DIV/0!,-100
153,Woodland-Normanstone Terrace,0,0,0,1,0,1,#DIV/0!,#DIV/0!,-100
154,Howard University,1,1,0,1,0,3,0,#DIV/0!,-100
155,Mass. Ave. Heights,1,0,0,1,0,2,0,#DIV/0!,-100
156,Anacostia Park,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
157,Anacostia River,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
158,Anacostia River Islands,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
159,Arboretum,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
160,Barnard Hill Park,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
161,Battery Kemble Park,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
162,Berkley/Foxhall Crescents,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
163,Blue Plains,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
164,Brentwood Railyard,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
165,C&O Canal Park,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
166,Colony Hill,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
167,Congressional Cemetery,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
168,Dalecarlia Reservoir,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
169,DC Village,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
170,DHS,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
171,Dumbarton Oaks Park,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
172,East Potomac Park,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
173,Ellipse,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
174,Fort Chaplin Park,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
175,Fort Davis Park,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
176,Fort Mahan Park,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
177,Fort Slocum Park,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
178,Fort Stanton Park,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
179,Fort Totten Park,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
180,Ft. McNair,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
181,Glover-Archbold Parkway,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
182,GWU-MV,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
183,Hains Point,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
184,Hillandale,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
185,Ivy City Railyard,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
186,Kenilworth Aquatic Gardens,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
187,Lafayette Square,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
188,Langston Golf Course,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
189,McMillan Sand Filtration Site,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
190,Melvin C. Hazen Park,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
191,Mt. Olivet Cemetery,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
192,National Arboretum,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
193,National Cathedral Grounds,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
